"Stichtagdatjahr","DatenstandCd","HAArtLevel1Sort","HAArtLevel1Cd","HAArtLevel1Lang","HASTWESort","HASTWECd","HASTWELang","BaualterSort_noDM","BaualterCd_noDM","BaualterLang_noDM","AnzZimmerLevel2Sort_noDM","AnzZimmerLevel2Cd_noDM","AnzZimmerLevel2Lang_noDM","AnzHA","HAPreisWohnflaeche","HAMedianPreis","HASumPreis"
2012,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",3,"3","3-Zimmer","62",8627,697500,48568074
2012,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",3,"3","3-Zimmer","153",8666,800000,149983668
2012,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",4,"4","4-Zimmer","57",12473,1751000,116710495
2012,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",4,"4","4-Zimmer","22",9898,1172500,28984935
2012,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",4,"4","4-Zimmer","9",8673,1000000,9926000
2012,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",4,"4","4-Zimmer","13",14597,1985000,23599500
2012,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",4,"4","4-Zimmer","49",9682,900000,49807622
2012,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",4,"4","4-Zimmer","150",10595,1330000,229028552
2012,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",5,"5","5-Zimmer","18",11598,1745500,44586309
2012,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",5,"5","5-Zimmer","3–5",10076,1525000,6850000
2012,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",5,"5","5-Zimmer","4",9539,1267500,5150000
2012,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",5,"5","5-Zimmer","1–3",15953,2740000,K
2012,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",5,"5","5-Zimmer","26",10189,1275000,36718578
2012,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",5,"5","5-Zimmer","54",10775,1515000,98784887
2012,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",6,"6","6-Zimmer und mehr","13–15",16821,4125000,59934015
2012,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",6,"6","6-Zimmer und mehr","1–3",16709,6221470,K
2012,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",6,"6","6-Zimmer und mehr","14",9113,1340000,26070974
2012,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",6,"6","6-Zimmer und mehr","30",13090,2715000,98447936
2013,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",1,"1","1-Zimmer","1–3",7375,590000,K
2013,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",1,"1","1-Zimmer","19–21",10690,310860,6903249
2013,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",1,"1","1-Zimmer","22",10517,315430,7493249
2013,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",2,"2","2-Zimmer","67",8679,900000,62020948
2013,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",2,"2","2-Zimmer","4–6",11818,790000,5305000
2013,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",2,"2","2-Zimmer","7",11333,680000,5680000
2013,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",2,"2","2-Zimmer","1–3",7890,447500,K
2013,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",2,"2","2-Zimmer","28",7946,515000,14113803
2013,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",2,"2","2-Zimmer","109",8783,800000,88014751
2013,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",3,"3","3-Zimmer","99",9044,1020000,120331384
2013,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",3,"3","3-Zimmer","13",11368,1070000,17320000
2013,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",3,"3","3-Zimmer","1–3",13722,1207500,K
2013,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",3,"3","3-Zimmer","9–11",11974,980000,9815500
2013,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",3,"3","3-Zimmer","45",8442,705000,34953978
2013,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",3,"3","3-Zimmer","169",9133,940000,187578362
2013,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",4,"4","4-Zimmer","83",9549,1289000,127745206
2013,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",4,"4","4-Zimmer","11",10192,1250000,15547000
2013,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",4,"4","4-Zimmer","6",13471,1695000,9950000
2013,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",4,"4","4-Zimmer","4",13611,1225000,4600000
2013,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",4,"4","4-Zimmer","48",10731,1110000,55767000
2013,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",4,"4","4-Zimmer","152",10047,1237500,213609206
2013,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",5,"5","5-Zimmer","17",12081,1839000,37362120
2013,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",5,"5","5-Zimmer","1–3",9184,1350000,K
2013,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",5,"5","5-Zimmer","1–3",8500,1360000,K
2013,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",5,"5","5-Zimmer","4–8",12558,1840000,7315000
2013,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",5,"5","5-Zimmer","26",10704,1450000,41006000
2013,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",5,"5","5-Zimmer","53",11422,1600000,95671120
2013,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",6,"6","6-Zimmer und mehr","1–3",10832,1939000,K
2013,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",6,"6","6-Zimmer und mehr","1–3",8902,3000000,K
2013,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",6,"6","6-Zimmer und mehr","1–3",8848,1805000,K
2013,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",6,"6","6-Zimmer und mehr","1–3",13689,2460000,K
2013,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",6,"6","6-Zimmer und mehr","9",12579,2000000,17852469
2013,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",6,"6","6-Zimmer und mehr","15",12127,2000000,31321469
2014,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",1,"1","1-Zimmer","29",11477,665000,17948765
2014,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",1,"1","1-Zimmer","1–3",16088,1227500,K
2014,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",1,"1","1-Zimmer","27–29",10536,890000,27294303
2014,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",1,"1","1-Zimmer","28",9634,319090,9779110
2014,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",1,"1","1-Zimmer","87",11026,665000,57477178
2014,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",2,"2","2-Zimmer","100",12102,1005000,109833545
2014,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",2,"2","2-Zimmer","6",10893,782120,5594435
2014,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",2,"2","2-Zimmer","1–3",8942,610500,K
2014,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",2,"2","2-Zimmer","4–6",11857,629000,3619000
2014,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",2,"2","2-Zimmer","28",8966,538300,16121883
2014,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",2,"2","2-Zimmer","141",11420,910000,136389863
2014,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",3,"3","3-Zimmer","117",11550,1185000,156216553
2014,"D",1,"22","Kauf",1,"J","Ja",2,"2","2–9 Jahre",3,"3","3-Zimmer","17",10638,1030000,23293254
2014,"D",1,"22","Kauf",1,"J","Ja",3,"3","10–19 Jahre",3,"3","3-Zimmer","8",7723,732500,6191000
2014,"D",1,"22","Kauf",1,"J","Ja",4,"4","Altbauten (umgebaut)",3,"3","3-Zimmer","9",10603,730000,8098000
2014,"D",1,"22","Kauf",1,"J","Ja",5,"5","Altbauten (nicht umgebaut)",3,"3","3-Zimmer","65",8429,685000,54760097
2014,"D",1,"22","Kauf",1,"J","Ja",9,"9","Total",3,"3","3-Zimmer","216",10703,1060000,248558903
2014,"D",1,"22","Kauf",1,"J","Ja",1,"1","Neubauten (0–1 Jahre)",4,"4","4-Zimmer","51",10678,1360000,70276739
