"Stichtagdatjahr","DatenstandCd","HAArtLevel1Sort","HAArtLevel1Cd","HAArtLevel1Lang","HASTWESort","HASTWECd","HASTWELang","RaumSort","RaumCd","RaumLang","AnzZimmerLevel2Sort_noDM","AnzZimmerLevel2Cd_noDM","AnzZimmerLevel2Lang_noDM","AnzHA","HAPreisWohnflaeche","HAMedianPreis","HASumPreis"
2009,"D",1,"22","Kauf",1,"J","Ja",42,"042","Langstrasse",2,"2","2-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",42,"042","Langstrasse",3,"3","3-Zimmer","4–6",6167,462500,2192000
2009,"D",1,"22","Kauf",1,"J","Ja",42,"042","Langstrasse",4,"4","4-Zimmer","1–3",7943,699000,K
2009,"D",1,"22","Kauf",1,"J","Ja",42,"042","Langstrasse",5,"5","5-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",42,"042","Langstrasse",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",44,"044","Hard",1,"1","1-Zimmer","1–3",5862,170000,K
2009,"D",1,"22","Kauf",1,"J","Ja",44,"044","Hard",2,"2","2-Zimmer","1–3",6383,300000,K
2009,"D",1,"22","Kauf",1,"J","Ja",44,"044","Hard",3,"3","3-Zimmer","1–3",5238,330000,K
2009,"D",1,"22","Kauf",1,"J","Ja",44,"044","Hard",4,"4","4-Zimmer","1–3",5000,440000,K
2009,"D",1,"22","Kauf",1,"J","Ja",44,"044","Hard",5,"5","5-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",44,"044","Hard",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",50,"5","Kreis 5",1,"1","1-Zimmer","1–3",17618,926090,K
2009,"D",1,"22","Kauf",1,"J","Ja",50,"5","Kreis 5",2,"2","2-Zimmer","7",10938,995000,6512826
2009,"D",1,"22","Kauf",1,"J","Ja",50,"5","Kreis 5",3,"3","3-Zimmer","4–6",10965,1170000,5180000
2009,"D",1,"22","Kauf",1,"J","Ja",50,"5","Kreis 5",4,"4","4-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",50,"5","Kreis 5",5,"5","5-Zimmer","1–3",12406,1625170,K
2009,"D",1,"22","Kauf",1,"J","Ja",50,"5","Kreis 5",6,"6","6-Zimmer und mehr","1–3",7053,1340000,K
2009,"D",1,"22","Kauf",1,"J","Ja",51,"051","Gewerbeschule",1,"1","1-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",51,"051","Gewerbeschule",2,"2","2-Zimmer","1–3",9081,517500,K
2009,"D",1,"22","Kauf",1,"J","Ja",51,"051","Gewerbeschule",3,"3","3-Zimmer","1–3",9400,470000,K
2009,"D",1,"22","Kauf",1,"J","Ja",51,"051","Gewerbeschule",4,"4","4-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",51,"051","Gewerbeschule",5,"5","5-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",51,"051","Gewerbeschule",6,"6","6-Zimmer und mehr","1–3",7053,1340000,K
2009,"D",1,"22","Kauf",1,"J","Ja",52,"052","Escher Wyss",1,"1","1-Zimmer","1–3",17618,926090,K
2009,"D",1,"22","Kauf",1,"J","Ja",52,"052","Escher Wyss",2,"2","2-Zimmer","4–6",11845,1147830,5477826
2009,"D",1,"22","Kauf",1,"J","Ja",52,"052","Escher Wyss",3,"3","3-Zimmer","3–5",11756,1210000,4710000
2009,"D",1,"22","Kauf",1,"J","Ja",52,"052","Escher Wyss",4,"4","4-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",52,"052","Escher Wyss",5,"5","5-Zimmer","1–3",12406,1625170,K
2009,"D",1,"22","Kauf",1,"J","Ja",52,"052","Escher Wyss",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",60,"6","Kreis 6",1,"1","1-Zimmer","1–3",13509,414010,K
2009,"D",1,"22","Kauf",1,"J","Ja",60,"6","Kreis 6",2,"2","2-Zimmer","2–6",9321,552500,3716111
2009,"D",1,"22","Kauf",1,"J","Ja",60,"6","Kreis 6",3,"3","3-Zimmer","7",12826,1180000,7885000
2009,"D",1,"22","Kauf",1,"J","Ja",60,"6","Kreis 6",4,"4","4-Zimmer","8",9558,1160000,9355949
2009,"D",1,"22","Kauf",1,"J","Ja",60,"6","Kreis 6",5,"5","5-Zimmer","19",11000,1550000,28575884
2009,"D",1,"22","Kauf",1,"J","Ja",60,"6","Kreis 6",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",61,"061","Unterstrass",1,"1","1-Zimmer","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",61,"061","Unterstrass",2,"2","2-Zimmer","1–3",9643,540000,K
2009,"D",1,"22","Kauf",1,"J","Ja",61,"061","Unterstrass",3,"3","3-Zimmer","4–6",10780,862500,3655000
2009,"D",1,"22","Kauf",1,"J","Ja",61,"061","Unterstrass",4,"4","4-Zimmer","1–3",7867,992970,K
2009,"D",1,"22","Kauf",1,"J","Ja",61,"061","Unterstrass",5,"5","5-Zimmer","1–3",7572,1066250,K
2009,"D",1,"22","Kauf",1,"J","Ja",61,"061","Unterstrass",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",63,"063","Oberstrass",1,"1","1-Zimmer","1–3",13509,414010,K
2009,"D",1,"22","Kauf",1,"J","Ja",63,"063","Oberstrass",2,"2","2-Zimmer","1–3",8561,565000,K
2009,"D",1,"22","Kauf",1,"J","Ja",63,"063","Oberstrass",3,"3","3-Zimmer","1–3",13333,1200000,K
2009,"D",1,"22","Kauf",1,"J","Ja",63,"063","Oberstrass",4,"4","4-Zimmer","5–7",9558,1160000,7370000
2009,"D",1,"22","Kauf",1,"J","Ja",63,"063","Oberstrass",5,"5","5-Zimmer","16–18",11329,1608100,26443384
2009,"D",1,"22","Kauf",1,"J","Ja",63,"063","Oberstrass",6,"6","6-Zimmer und mehr","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",70,"7","Kreis 7",1,"1","1-Zimmer","1–3",37200,930000,K
2009,"D",1,"22","Kauf",1,"J","Ja",70,"7","Kreis 7",2,"2","2-Zimmer","15-17",6054,415000,9506464
2009,"D",1,"22","Kauf",1,"J","Ja",70,"7","Kreis 7",3,"3","3-Zimmer","23",11136,900000,25313276
